#FinalClass GroupNumber SubGroupNumber GalaxyID  SuccessFlag
2.0 16.0 13.0 165249.0 2.0
1.0 18.0 2.0 16578043.0 3.0
0.0 18.0 5.0 16608246.0 2.0
2.0 18.0 7.0 16692290.0 4.0
0.0 19.0 1.0 16828343.0 3.0
2.0 19.0 9.0 16841705.0 2.0
0.0 19.0 10.0 16852685.0 1.0
1.0 20.0 1.0 16899534.0 4.0
1.0 22.0 0.0 16935095.0 2.0
0.0 22.0 17.0 16948257.0 3.0
0.0 23.0 7.0 16960167.0 1.0
0.0 23.0 11.0 16981991.0 2.0
1.0 23.0 12.0 17074705.0 4.0
2.0 24.0 0.0 17094054.0 3.0
2.0 24.0 3.0 17124510.0 4.0
0.0 24.0 6.0 17304600.0 4.0
2.0 25.0 1.0 17323599.0 3.0
0.0 25.0 2.0 17374402.0 4.0
2.0 25.0 6.0 17382930.0 4.0
0.0 26.0 1.0 17386981.0 3.0
0.0 26.0 6.0 17432570.0 4.0
1.0 26.0 8.0 17441218.0 4.0
0.0 27.0 2.0 17445073.0 2.0
0.0 27.0 3.0 17519777.0 4.0
0.0 29.0 0.0 17523254.0 4.0
1.0 31.0 0.0 17570366.0 1.0
0.0 31.0 3.0 17640299.0 2.0
0.0 34.0 0.0 17643577.0 2.0
1.0 35.0 1.0 17672886.0 3.0
1.0 37.0 0.0 17689286.0 1.0
0.0 37.0 5.0 17713162.0 2.0
0.0 38.0 5.0 17799611.0 4.0
2.0 40.0 3.0 17820509.0 4.0
0.0 42.0 6.0 17875911.0 1.0
2.0 45.0 0.0 17961350.0 4.0
0.0 45.0 1.0 18034408.0 4.0
0.0 46.0 4.0 18118060.0 4.0
0.0 47.0 4.0 18125943.0 2.0
1.0 49.0 0.0 18138347.0 3.0
0.0 50.0 1.0 18140480.0 3.0
0.0 52.0 1.0 18143518.0 3.0
0.0 52.0 4.0 18171868.0 4.0
1.0 53.0 1.0 18269024.0 3.0
0.0 54.0 3.0 18294880.0 4.0
1.0 55.0 2.0 18343511.0 3.0
2.0 55.0 5.0 18470776.0 2.0
0.0 55.0 13.0 27473.0 4.0
0.0 56.0 3.0 3537757.0 4.0
1.0 57.0 0.0 36468.0 2.0
1.0 58.0 0.0 38951.0 3.0
0.0 58.0 2.0 4461431.0 3.0
0.0 58.0 4.0 4566938.0 3.0
0.0 58.0 5.0 5299569.0 3.0
1.0 59.0 1.0 6040033.0 3.0
1.0 61.0 0.0 6066835.0 3.0
1.0 61.0 2.0 6068063.0 2.0
1.0 62.0 2.0 6615740.0 3.0
1.0 64.0 1.0 6639776.0 4.0
2.0 67.0 0.0 6650953.0 3.0
0.0 72.0 0.0 7190131.0 4.0
0.0 72.0 1.0 7196585.0 3.0
1.0 73.0 1.0 8058402.0 3.0
0.0 75.0 10.0 8101595.0 4.0
1.0 76.0 1.0 8115173.0 2.0
1.0 76.0 3.0 8122787.0 4.0
1.0 78.0 2.0 8136010.0 3.0
2.0 80.0 1.0 8139479.0 2.0
1.0 84.0 0.0 8216840.0 3.0
0.0 86.0 4.0 8274106.0 3.0
2.0 89.0 0.0 8295057.0 4.0
1.0 91.0 3.0 8353604.0 3.0
1.0 92.0 0.0 8364906.0 4.0
0.0 93.0 1.0 8393665.0 3.0
0.0 93.0 5.0 8399448.0 4.0
1.0 94.0 0.0 8429143.0 3.0
1.0 96.0 4.0 8567853.0 3.0
1.0 97.0 0.0 8572763.0 3.0
1.0 98.0 0.0 8585109.0 2.0
1.0 99.0 0.0 8633758.0 4.0
0.0 100.0 1.0 8640505.0 1.0
0.0 102.0 1.0 8689645.0 1.0
1.0 107.0 0.0 8752041.0 3.0
1.0 111.0 3.0 8799477.0 4.0
1.0 114.0 4.0 8816166.0 3.0
0.0 114.0 5.0 8819792.0 3.0
0.0 123.0 1.0 8900328.0 2.0
1.0 124.0 0.0 8935446.0 3.0
0.0 125.0 1.0 8941628.0 3.0
0.0 126.0 0.0 8958332.0 4.0
0.0 127.0 0.0 8965614.0 2.0
1.0 127.0 1.0 8980186.0 4.0
1.0 134.0 1.0 8995405.0 4.0
1.0 138.0 0.0 8997130.0 3.0
0.0 140.0 0.0 9020523.0 4.0
0.0 141.0 1.0 9055873.0 2.0
0.0 142.0 0.0 9074809.0 4.0
1.0 143.0 0.0 9114530.0 4.0
1.0 152.0 4.0 9125261.0 3.0
0.0 155.0 0.0 9150430.0 1.0
0.0 159.0 2.0 9192916.0 4.0
1.0 162.0 0.0 9217775.0 3.0
0.0 164.0 0.0 9219350.0 2.0
1.0 166.0 0.0 9267523.0 3.0
0.0 171.0 0.0 9284259.0 1.0
1.0 173.0 1.0 9355439.0 4.0
0.0 175.0 0.0 9378421.0 4.0
1.0 179.0 0.0 9432093.0 4.0
1.0 183.0 0.0 9463307.0 4.0
0.0 187.0 2.0 9464626.0 3.0
0.0 188.0 1.0 9474586.0 4.0
1.0 189.0 2.0 9484895.0 2.0
0.0 190.0 0.0 9573816.0 4.0
1.0 191.0 0.0 9600761.0 2.0
0.0 192.0 1.0 9634679.0 3.0
1.0 198.0 2.0 9639906.0 2.0
1.0 200.0 1.0 9656543.0 4.0
1.0 202.0 1.0 9708148.0 3.0
0.0 204.0 1.0 9714039.0 4.0
1.0 208.0 1.0 9756946.0 4.0
0.0 211.0 0.0 9762289.0 3.0
1.0 213.0 0.0 9812401.0 4.0
1.0 215.0 0.0 9920746.0 4.0
1.0 216.0 0.0 9944856.0 3.0
1.0 218.0 1.0 9988502.0 4.0
1.0 220.0 0.0 10001964.0 3.0
1.0 226.0 0.0 10047593.0 4.0
